Name,Rating,Reviews,Culture,About
TCS,3.6,(99.8k),"Job Security, Work Life Balance",IT Services & Consulting | Bangalore / Bengaluru +412 other locations
Accenture,3.7,(64.3k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Bangalore / Bengaluru +228 other locations
Wipro,3.7,(58k),Job Security,IT Services & Consulting | Bangalore / Bengaluru +357 other locations
Cognizant,3.7,(55.1k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Hyderabad / Secunderabad +212 other locations
Capgemini,3.7,(46.8k),"Work Life Balance, Job Security",IT Services & Consulting | Bangalore / Bengaluru +175 other locations
HDFC Bank,3.8,(44.3k),"Job Security, Skill Development / Learning",Banking | Mumbai +1713 other locations
Infosys,3.6,(43.5k),Job Security,IT Services & Consulting | Bangalore / Bengaluru +230 other locations
ICICI Bank,4.0,(42.5k),"Job Security, Skill Development / Learning, Company Culture",Banking | Mumbai +1403 other locations
HCLTech,3.5,(40.2k),Job Security,IT Services & Consulting | Chennai +217 other locations
Tech Mahindra,3.5,(38.6k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Hyderabad / Secunderabad +321 other locations
Genpact,3.7,(36.5k),Job Security,IT Services & Consulting | Hyderabad / Secunderabad +162 other locations
Teleperformance,3.9,(33.1k),"Company Culture, Work Life Balance, Job Security",BPO | Mumbai +246 other locations
Concentrix Corporation,3.7,(28.8k),Job Security,BPO | Bangalore / Bengaluru +168 other locations
Axis Bank,3.7,(28.7k),"Promotions / Appraisal, Work Satisfaction",Banking | Mumbai +1436 other locations
Amazon,4.0,(27.6k),"Company Culture, Work Life Balance, Salary & Benefits",Internet | Bangalore / Bengaluru +500 other locations
Jio,4.1,(26.4k),"Job Security, Skill Development / Learning, Company Culture",Telecom | Mumbai +1546 other locations
iEnergizer,4.7,(25.1k),"Salary & Benefits, Company Culture, Work Life Balance",BPO | Noida +45 other locations
Reliance Retail,3.9,(24.5k),"Skill Development / Learning, Job Security",Retail | Mumbai +1105 other locations
IBM,3.9,(23.7k),"Work Life Balance, Company Culture, Job Security",IT Services & Consulting | Bangalore / Bengaluru +157 other locations
LTIMindtree,3.7,(23k),"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | Bangalore / Bengaluru +135 other locations
HDB Financial Services,3.9,(22.6k),"Company Culture, Work Life Balance, Job Security",NBFC | Mumbai +1042 other locations
Larsen & Toubro Limited,3.9,(20.5k),"Job Security, Skill Development / Learning",Engineering & Construction | Chennai +711 other locations
Deloitte,3.7,(20k),"Job Security, Skill Development / Learning",Management Consulting | Hyderabad / Secunderabad +169 other locations
Kotak Mahindra Bank,3.7,(19.5k),"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Banking | Mumbai +653 other locations
Reliance Industries,4.0,(17.7k),"Job Security, Skill Development / Learning, Work Life Balance",Oil & Gas | Jamnagar +770 other locations
BYJU'S,3.1,(16.4k),"Job Security, Company Culture, Work Life Balance",EdTech | Bangalore / Bengaluru +321 other locations
Vodafone Idea,4.0,(16.4k),"Company Culture, Work Life Balance, Salary & Benefits",Telecom | Pune +690 other locations
Bharti Airtel,3.9,(15.3k),Skill Development / Learning,Telecom | Gurgaon / Gurugram +751 other locations
WNS,3.3,(13.3k),"Promotions / Appraisal, Salary & Benefits, Company Culture",BPO | Pune +57 other locations
Tata Motors,4.2,(13.1k),"Job Security, Company Culture, Work Life Balance",Automobile | Pune +490 other locations
AU Small Finance Bank,4.2,(12.6k),"Job Security, Skill Development / Learning, Company Culture",Banking | Jaipur +731 other locations
IndusInd Bank,3.5,(12.2k),"Promotions / Appraisal, Company Culture, Work Satisfaction",Banking | Mumbai +762 other locations
Ernst & Young,3.4,(12.2k),"Work Life Balance, Work Satisfaction, Promotions / Appraisal",Management Consulting | Bangalore / Bengaluru +121 other locations
IDFC FIRST Bank,3.9,(12k),"Salary & Benefits, Skill Development / Learning",Banking | Mumbai +672 other locations
Flipkart,3.9,(11.6k),Skill Development / Learning,Internet | Bangalore / Bengaluru +546 other locations
DXC Technology,3.6,(10.9k),Work Life Balance,IT Services & Consulting | Bangalore / Bengaluru +128 other locations
Infosys BPM,3.5,(10.8k),Job Security,BPO | Bangalore / Bengaluru +87 other locations
Mahindra & Mahindra,4.1,(10.7k),"Job Security, Skill Development / Learning, Company Culture",Automobile | Pune +533 other locations
PwC,3.3,(10.6k),"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Management Consulting | Bangalore / Bengaluru +123 other locations
Bajaj Finserv,3.9,(10.6k),"Salary & Benefits, Skill Development / Learning, Job Security",Financial Services | Pune +1061 other locations
HDFC Life,3.9,(10.4k),"Skill Development / Learning, Company Culture, Work Life Balance",Insurance | Mumbai +649 other locations
Conneqt Business Solutions,3.6,(9.4k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO | Hyderabad / Secunderabad +254 other locations
Mphasis,3.3,(9.2k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Bangalore / Bengaluru +58 other locations
Bandhan Bank,3.7,(8.9k),"Promotions / Appraisal, Work Satisfaction",Banking | Kolkata +930 other locations
Yes Bank,3.7,(8.8k),"Promotions / Appraisal, Company Culture, Work Satisfaction",Banking | Mumbai +506 other locations
Tata Steel,4.0,(8.5k),"Work Life Balance, Job Security, Company Culture",Iron & Steel | Jamshedpur +213 other locations
Startek,3.1,(8.4k),"Promotions / Appraisal, Salary & Benefits, Company Culture",BPO | Bangalore / Bengaluru +101 other locations
Quess,3.8,(8.3k),"Promotions / Appraisal, Job Security",IT Services & Consulting | Bangalore / Bengaluru +665 other locations
Paytm,3.2,(8.2k),"Job Security, Company Culture, Promotions / Appraisal",FinTech | Noida +378 other locations
